RegisterSchemaVersion,DependencyID,FromPackageID,FromDeliverableID,FromDeliverableName,DependencyClass,AnchorType,Direction,DependencyType,TargetType,TargetPackageID,TargetDeliverableID,TargetRefID,TargetName,TargetLocation,Statement,EvidenceFile,SourceRef,EvidenceQuote,Explicitness,RequiredMaturity,ProposedMaturity,SatisfactionStatus,Confidence,Origin,FirstSeen,LastSeen,Status,Notes
v3.1,DEP-08-01-001,PKG-08,DEL-08-01,_REFERENCES.md Content Hashes + Verification,ANCHOR,IMPLEMENTS_NODE,UPSTREAM,OTHER,WBS_NODE,,,,SOW-032,,"DEL-08-01 implements scope item SOW-032: SHA-256 content hashes for out-of-folder references + verification gates.",Datasheet.md,Datasheet > Identification > Scope Coverage,"Scope Coverage: SOW-032",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,"FACT. Confirmed in Decomposition Scope Ledger: SOW-032 -> PKG-08 -> DEL-08-01. SOW-032 status is TBD (OI-032)."
v3.1,DEP-08-01-002,PKG-08,DEL-08-01,_REFERENCES.md Content Hashes + Verification,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,OBJ-007,,"DEL-08-01 supports OBJ-007: Optional integrity hardening loop (TBD scope).",Datasheet.md,Datasheet > Identification > Objectives,"Objectives: OBJ-007 (ASSUMPTION -- best-effort mapping via PKG-08 package grouping)",EXPLICIT,TBD,TBD,TBD,MEDIUM,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,"ASSUMPTION. Datasheet states best-effort mapping via PKG-08 package grouping. Confirmed in Decomposition: DEL-08-01 SupportsObjectives = OBJ-007."
v3.1,DEP-08-01-003,PKG-08,DEL-08-01,_REFERENCES.md Content Hashes + Verification,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,K-GHOST-1,docs/CONTRACT.md,"Content hashes support K-GHOST-1 enforcement by verifying that referenced content has not changed since context sealing.",Datasheet.md,Datasheet > Conditions > No-Ghost-Input Alignment,"Content hashes support K-GHOST-1 enforcement by verifying that referenced content has not changed since context sealing",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,"FACT. Explicit alignment statement. Also confirmed in Specification REQ-06 and Guidance Purpose."
v3.1,DEP-08-01-004,PKG-08,DEL-08-01,_REFERENCES.md Content Hashes + Verification,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,K-PROV-1,docs/CONTRACT.md,"Hashes complement K-PROV-1 by adding integrity verification to provenance tracking.",Datasheet.md,Datasheet > Conditions > Provenance Alignment,"Hashes complement K-PROV-1 by adding integrity verification to provenance tracking",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,"FACT. Explicit alignment statement."
v3.1,DEP-08-01-005,PKG-08,DEL-08-01,_REFERENCES.md Content Hashes + Verification,ANCHOR,TRACES_TO_REQUIREMENT,UPSTREAM,OTHER,REQUIREMENT,,,,K-VAL-1,docs/CONTRACT.md,"Hash verification contributes to K-VAL-1 dirty detection (changed inputs since last approved SHA).",Datasheet.md,Datasheet > Conditions > Dirty Detection Alignment,"Hash verification contributes to K-VAL-1 dirty detection (changed inputs since last approved SHA)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,"FACT. Explicit alignment statement."
v3.1,DEP-08-01-006,PKG-08,DEL-08-01,_REFERENCES.md Content Hashes + Verification,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,WBS_NODE,,,,SOW-032 Scope Activation,,"SOW-032 must be flipped to IN before this deliverable is fully actionable (Open Issue OI-032).",Datasheet.md,Datasheet > Conditions > Scope Activation,"SOW-032 must be flipped to IN before this deliverable is fully actionable",EXPLICIT,TBD,TBD,PENDING,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,"FACT. Scope gate constraint. Also stated in Specification Scope Status Note and Procedure Prerequisites."
v3.1,DEP-08-01-007,PKG-08,DEL-08-01,_REFERENCES.md Content Hashes + Verification,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,docs/SPEC.md Section 7,docs/SPEC.md,"Understanding of current _REFERENCES.md format (SPEC Section 7) is a required input for schema extension design.",Procedure.md,Procedure > Prerequisites,"Current _REFERENCES.md Format: Understanding of SPEC Section 7 format for _REFERENCES.md -- Available (docs/SPEC.md Section 7)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,"FACT. Procedure lists as explicit prerequisite. Also referenced in Specification REQ-02 and Guidance P2."
v3.1,DEP-08-01-008,PKG-08,DEL-08-01,_REFERENCES.md Content Hashes + Verification,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,docs/CONTRACT.md (K-GHOST-1 / K-PROV-1 / K-VAL-1),docs/CONTRACT.md,"Understanding of K-GHOST-1, K-PROV-1, and K-VAL-1 invariants is required for alignment verification.",Procedure.md,Procedure > Prerequisites,"K-GHOST-1 / K-PROV-1 / K-VAL-1: Understanding of the invariants this deliverable supports -- Available (docs/CONTRACT.md)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,"FACT. Procedure lists as explicit prerequisite."
v3.1,DEP-08-01-009,PKG-08,DEL-08-01,_REFERENCES.md Content Hashes + Verification,EXECUTION,NOT_APPLICABLE,UPSTREAM,PREREQUISITE,DOCUMENT,,,,docs/PLAN.md Section 3.1,docs/PLAN.md,"PLAN Section 3.1 provides feature description, rationale, effort estimate, and integration points.",Procedure.md,Procedure > Prerequisites,"PLAN Section 3.1: Feature description and integration points -- Available (docs/PLAN.md Section 3.1)",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,"FACT. Procedure lists as explicit prerequisite. Also referenced throughout Datasheet and Specification."
v3.1,DEP-08-01-010,PKG-08,DEL-08-01,_REFERENCES.md Content Hashes + Verification,EXECUTION,NOT_APPLICABLE,UPSTREAM,INTERFACE,DELIVERABLE,PKG-06,DEL-06-02,,Local Deliverable Workflow Agents (Scaffold > Doc Kit > Semantic),,"DEL-08-01 requires integration with PREPARATION and ORCHESTRATOR agents (covered by DEL-06-02) for hash computation during scaffold and verification before pipeline runs.",Procedure.md,Procedure > Phase 3 > Step 3.1 and Step 3.2,"Modify PREPARATION agent workflow to invoke hash computation; Modify ORCHESTRATOR pre-pipeline check to invoke hash verification",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,"FACT. Procedure Steps 3.1/3.2 explicitly require PREPARATION and ORCHESTRATOR integration. Procedure Prerequisites list agent instructions as required inputs. Guidance C5 identifies these as integration touch-points."
v3.1,DEP-08-01-011,PKG-08,DEL-08-01,_REFERENCES.md Content Hashes + Verification,EXECUTION,NOT_APPLICABLE,DOWNSTREAM,HANDOVER,DELIVERABLE,PKG-08,DEL-08-07,,Staleness Propagation + Triage Tooling,,"DEL-08-07 consumes hash verification output from DEL-08-01 to propagate staleness through the dependency graph.",Guidance.md,Guidance > Considerations > C4: Interaction with Staleness Propagation,"DEL-08-07 consumes: verification results to propagate staleness through the dependency graph",EXPLICIT,TBD,TBD,TBD,HIGH,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,"FACT. Guidance C4 and Specification Verification table explicitly state DEL-08-07 consumes hash verification output. ASSUMPTION: DEL-08-07 interface not yet defined."
v3.1,DEP-08-01-012,PKG-08,DEL-08-01,_REFERENCES.md Content Hashes + Verification,EXECUTION,NOT_APPLICABLE,UPSTREAM,CONSTRAINT,EXTERNAL,,,,FIPS 180-4 (NIST SHA-256),location TBD,"SHA-256 algorithm specification constrains hash algorithm choice. Standard library implementations serve as accepted proxy.",Datasheet.md,Datasheet > References,"FIPS 180-4 (NIST): SHA-256 algorithm specification (location TBD)",EXPLICIT,TBD,TBD,NOT_APPLICABLE,LOW,EXTRACTED,2026-02-21,2026-02-21,ACTIVE,"FACT. Explicitly referenced but location TBD. Guidance C7 confirms standard library implementations are the accepted compliance approach."
