DeliverableID,PackageID,FolderPath,DependenciesCsvExists,SchemaStatus,ColumnCount,RowCount
DEL-01-01,PKG-01,execution/PKG-01_Build_And_Packaging/1_Working/DEL-01-01_macOS_Build_Baseline,TRUE,SCHEMA_VALID,29,9
DEL-01-02,PKG-01,execution/PKG-01_Build_And_Packaging/1_Working/DEL-01-02_Unsigned_DMG_Packaging,TRUE,SCHEMA_VALID,29,8
DEL-02-01,PKG-02,execution/PKG-02_Desktop_UI_Workflow/1_Working/DEL-02-01_FileTree_Refresh,TRUE,SCHEMA_VALID,29,6
DEL-02-02,PKG-02,execution/PKG-02_Desktop_UI_Workflow/1_Working/DEL-02-02_Portal_Pipeline_Navigation,TRUE,SCHEMA_VALID,29,10
DEL-02-03,PKG-02,execution/PKG-02_Desktop_UI_Workflow/1_Working/DEL-02-03_Operator_Toolkit_Panel,TRUE,SCHEMA_VALID,29,11
DEL-02-04,PKG-02,execution/PKG-02_Desktop_UI_Workflow/1_Working/DEL-02-04_Multipane_Layout_Theme,TRUE,SCHEMA_VALID,29,9
DEL-03-01,PKG-03,execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-01_Working_Root_Session_Boot,TRUE,SCHEMA_VALID,29,14
DEL-03-02,PKG-03,execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-02_Turn_Execution_SSE_Streaming,TRUE,SCHEMA_VALID,29,14
DEL-03-03,PKG-03,execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-03_Turn_Options_Fallback_Chains,TRUE,SCHEMA_VALID,29,8
DEL-03-04,PKG-03,execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-04_Subagent_Governance_FailClosed,TRUE,SCHEMA_VALID,29,15
DEL-03-05,PKG-03,execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-05_Anthropic_Provider_Integration,TRUE,SCHEMA_VALID,29,12
DEL-03-06,PKG-03,execution/PKG-03_Harness_Runtime_Core/1_Working/DEL-03-06_Outbound_Network_Guardrails,TRUE,SCHEMA_VALID,29,14
DEL-04-01,PKG-04,execution/PKG-04_Attachments_Multimodal/1_Working/DEL-04-01_Attachment_Resolver_PromptMode,TRUE,SCHEMA_VALID,29,10
DEL-04-02,PKG-04,execution/PKG-04_Attachments_Multimodal/1_Working/DEL-04-02_UI_Attachment_Pipeline,TRUE,SCHEMA_VALID,29,8
DEL-05-01,PKG-05,execution/PKG-05_Filesystem_Execution_Model/1_Working/DEL-05-01_Instruction_Root_Bundling,TRUE,SCHEMA_VALID,29,11
DEL-05-02,PKG-05,execution/PKG-05_Filesystem_Execution_Model/1_Working/DEL-05-02_Execution_Root_Scaffolding,TRUE,SCHEMA_VALID,29,13
DEL-05-03,PKG-05,execution/PKG-05_Filesystem_Execution_Model/1_Working/DEL-05-03_Lifecycle_State_Handling,TRUE,SCHEMA_VALID,29,14
DEL-05-04,PKG-05,execution/PKG-05_Filesystem_Execution_Model/1_Working/DEL-05-04_Dependency_Tracking_Contract,TRUE,SCHEMA_VALID,29,10
DEL-06-01,PKG-06,execution/PKG-06_Agent_Suite_Governance/1_Working/DEL-06-01_Agent_Instruction_Conformance,TRUE,SCHEMA_VALID,29,10
DEL-06-02,PKG-06,execution/PKG-06_Agent_Suite_Governance/1_Working/DEL-06-02_Local_Deliverable_Workflow_Agents,TRUE,SCHEMA_VALID,29,17
DEL-06-03,PKG-06,execution/PKG-06_Agent_Suite_Governance/1_Working/DEL-06-03_Cross_Deliverable_Workflows,TRUE,SCHEMA_VALID,29,15
DEL-06-04,PKG-06,execution/PKG-06_Agent_Suite_Governance/1_Working/DEL-06-04_Change_Management_Git_Hygiene,TRUE,SCHEMA_VALID,29,9
DEL-06-05,PKG-06,execution/PKG-06_Agent_Suite_Governance/1_Working/DEL-06-05_Governance_Coherence_Guardrails,TRUE,SCHEMA_VALID,29,17
DEL-07-01,PKG-07,execution/PKG-07_Validation_Example_Assets/1_Working/DEL-07-01_Harness_Validation_Suite,TRUE,SCHEMA_VALID,29,15
DEL-07-02,PKG-07,execution/PKG-07_Validation_Example_Assets/1_Working/DEL-07-02_Example_Execution_Roots,TRUE,SCHEMA_VALID,29,11
DEL-08-01,PKG-08,execution/PKG-08_Optional_Integrity_Hardening/1_Working/DEL-08-01_References_Content_Hashes,TRUE,SCHEMA_VALID,29,12
DEL-08-02,PKG-08,execution/PKG-08_Optional_Integrity_Hardening/1_Working/DEL-08-02_Dependencies_Schema_Linter,TRUE,SCHEMA_VALID,29,9
DEL-08-03,PKG-08,execution/PKG-08_Optional_Integrity_Hardening/1_Working/DEL-08-03_Execution_Root_Validator,TRUE,SCHEMA_VALID,29,9
DEL-08-04,PKG-08,execution/PKG-08_Optional_Integrity_Hardening/1_Working/DEL-08-04_Dependency_Graph_Generator,TRUE,SCHEMA_VALID,29,13
DEL-08-05,PKG-08,execution/PKG-08_Optional_Integrity_Hardening/1_Working/DEL-08-05_Deliverable_Lock_Mechanism,TRUE,SCHEMA_VALID,29,15
DEL-08-06,PKG-08,execution/PKG-08_Optional_Integrity_Hardening/1_Working/DEL-08-06_Unified_Run_Record_Persistence,TRUE,SCHEMA_VALID,29,12
DEL-08-07,PKG-08,execution/PKG-08_Optional_Integrity_Hardening/1_Working/DEL-08-07_Staleness_Propagation_Triage,TRUE,SCHEMA_VALID,29,15
